https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1633651200,2021-10-08 00:00:00,LTC/USDT,178.559,183.483,174.248,175.945,55651.28822169,9989999.19606719284
1633564800,2021-10-07 00:00:00,LTC/USDT,178.489,186.939,173.484,178.626,90396.67252704,16252459.186420823
1633478400,2021-10-06 00:00:00,LTC/USDT,173.73,183,163.9,178.479,96587.08900802,16949981.37083756975
1633392000,2021-10-05 00:00:00,LTC/USDT,167.558,175.819,166.633,173.729,64115.6020141,10984571.27415612639
1633305600,2021-10-04 00:00:00,LTC/USDT,170.473,170.768,161.353,167.513,49510.6899234,8241609.75017762404
1633219200,2021-10-03 00:00:00,LTC/USDT,168.889,175,164.462,170.559,48671.63320335,8252444.86048946317
1633132800,2021-10-02 00:00:00,LTC/USDT,166.211,172.8,164.38,168.889,44619.36148679,7552309.20187533203
1633046400,2021-10-01 00:00:00,LTC/USDT,153.303,168.036,151.173,166.199,69235.7772924,11164783.89686895781
1632960000,2021-09-30 00:00:00,LTC/USDT,144.816,154.47,143.957,153.292,49795.40672357,7502030.07477696193
1632873600,2021-09-29 00:00:00,LTC/USDT,140.44,150.296,139.786,144.77,45253.29003398,6575554.29243381907
1632787200,2021-09-28 00:00:00,LTC/USDT,145.027,148.897,140.042,140.515,50302.36723977,7302007.27401738475
1632700800,2021-09-27 00:00:00,LTC/USDT,150.676,155,144.704,145.007,38310.22368681,5763427.47406236001
1632614400,2021-09-26 00:00:00,LTC/USDT,150.885,153.402,141.82,150.873,49821.45184396,7423655.21028672281
1632528000,2021-09-25 00:00:00,LTC/USDT,152.054,155.921,148.349,150.939,44140.26659293,6719386.71418717934
1632441600,2021-09-24 00:00:00,LTC/USDT,163.834,166.468,141.807,152.044,81441.94539862,12363725.06458610694
1632355200,2021-09-23 00:00:00,LTC/USDT,161.457,164.9,157.168,163.814,50216.59596464,8106962.60846623068
1632268800,2021-09-22 00:00:00,LTC/USDT,148.512,161.773,145.34,161.472,59237.20892439,9253336.52776775176
1632182400,2021-09-21 00:00:00,LTC/USDT,157.171,162.26,144.757,148.493,77106.1098517,11955719.22500281912
1632096000,2021-09-20 00:00:00,LTC/USDT,175.621,175.918,153.535,157.235,108525.22137593,17556611.56781919999
1632009600,2021-09-19 00:00:00,LTC/USDT,181.267,181.664,172.5,175.587,39691.41222237,7035199.76464268223
1631923200,2021-09-18 00:00:00,LTC/USDT,179.91,185.733,177.96,181.374,33306.24853765,6068060.15559153843
1631836800,2021-09-17 00:00:00,LTC/USDT,185.291,190.458,177.609,179.854,56009.63277846,10225589.128076626
1631750400,2021-09-16 00:00:00,LTC/USDT,189.116,195.49,181.329,185.294,86537.40094221,16378977.59569771134
1631664000,2021-09-15 00:00:00,LTC/USDT,183.01,191.831,179.66,189.017,71012.93859815,13086608.02295758899
1631577600,2021-09-14 00:00:00,LTC/USDT,179.37,188.854,176.079,183.057,81831.93804625,14806886.35422056747
1631491200,2021-09-13 00:00:00,LTC/USDT,183.1,236.799,170.75,179.261,391602.26517119,76228462.7508120374
1631404800,2021-09-12 00:00:00,LTC/USDT,178.509,186.064,175.122,183.106,46936.48005873,8516595.60594205766
1631318400,2021-09-11 00:00:00,LTC/USDT,174.112,186.079,173.381,178.509,59515.9014814,10762992.17362925827
1631232000,2021-09-10 00:00:00,LTC/USDT,180.35,187.428,168.569,174.131,61270.09984596,10935476.39633561786
1631145600,2021-09-09 00:00:00,LTC/USDT,179.738,188.698,176.379,180.263,69779.08181095,12769973.25417373857
1631059200,2021-09-08 00:00:00,LTC/USDT,178.331,188.829,169.339,179.648,152103.70526552,27464334.14769541931
1630972800,2021-09-07 00:00:00,LTC/USDT,219.427,221.759,159,178.203,229052.77463759,44785573.51473855999
1630886400,2021-09-06 00:00:00,LTC/USDT,232.252,232.278,215.04,219.419,99990.07947182,22332717.99256815301
1630800000,2021-09-05 00:00:00,LTC/USDT,212.082,232.432,210.53,232.371,109872.53391858,24426212.75805296618
1630713600,2021-09-04 00:00:00,LTC/USDT,212.975,225.175,208.227,211.956,118522.88009906,25548470.20566150608
1630627200,2021-09-03 00:00:00,LTC/USDT,183.448,217.723,179.9,213,169919.32783229,34192867.00444641689
1630540800,2021-09-02 00:00:00,LTC/USDT,180.765,187.954,179.474,183.366,57775.9134428,10634254.2094181547
1630454400,2021-09-01 00:00:00,LTC/USDT,171.504,182.706,168.714,180.974,66700.93665797,11762967.1063580872
1630368000,2021-08-31 00:00:00,LTC/USDT,167.287,175.454,164.806,171.501,45974.43035612,7845982.77105727354
1630281600,2021-08-30 00:00:00,LTC/USDT,174.324,176.426,166.576,167.267,31221.26897724,5367377.41801383995
