https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1626220800,2021-07-14 00:00:00,BTC/USDT,32725.2,33170,31575.4,32819.3,4379.42305702,141937548.569615
1626134400,2021-07-13 00:00:00,BTC/USDT,33089,33341,32195,32725.2,3605.48200495,118153057.590602
1626048000,2021-07-12 00:00:00,BTC/USDT,34263.5,34702.9,32630.4,33089.4,4117.53539976,138177733.392107
1625961600,2021-07-11 00:00:00,BTC/USDT,33510,34611.3,33318.5,34263.5,2880.66303705,97552330.4931407
1625875200,2021-07-10 00:00:00,BTC/USDT,33815.5,34260.9,33037,33510,3252.0101229,109503559.452618
1625788800,2021-07-09 00:00:00,BTC/USDT,32872.8,34100,32265,33816.4,3393.73863807,112577830.24629
1625702400,2021-07-08 00:00:00,BTC/USDT,33862.7,33922.7,32085.5,32875.7,4430.45908695,145653465.532491
1625616000,2021-07-07 00:00:00,BTC/USDT,34227.1,35057.3,33777.2,33862.8,3811.98736395,131551763.969575
1625529600,2021-07-06 00:00:00,BTC/USDT,33683.7,35100,33510,34228.5,4425.08052252,151140327.801832
1625443200,2021-07-05 00:00:00,BTC/USDT,35279.8,35283.7,33130.7,33683.7,4075.2545818,138884272.876468
1625356800,2021-07-04 00:00:00,BTC/USDT,34675.2,35966.8,34349.9,35273.7,2936.64620448,103698865.589416
1625270400,2021-07-03 00:00:00,BTC/USDT,33791.5,34942.6,33324,34675.2,3265.35647557,112243766.715804
1625184000,2021-07-02 00:00:00,BTC/USDT,33500,33988.2,32700.8,33791.4,4815.31796337,160305767.2112
1625097600,2021-07-01 00:00:00,BTC/USDT,35045.4,35056.5,32711,33500.1,5862.19733593,197113094.507712
1625011200,2021-06-30 00:00:00,BTC/USDT,35906.6,36099.6,34022.7,35045.4,5743.848897,200265522.015124
1624924800,2021-06-29 00:00:00,BTC/USDT,34490.8,36595.2,34234.4,35908.9,6179.9829238,220229621.553411
1624838400,2021-06-28 00:00:00,BTC/USDT,34703.8,35291.5,33857.4,34490.7,6438.36854468,222031983.464542
1624752000,2021-06-27 00:00:00,BTC/USDT,32283.7,34752.4,32001.2,34704.4,6201.73835382,205535768.069663
1624665600,2021-06-26 00:00:00,BTC/USDT,31588.1,32720.9,30153,32283.7,8232.10619727,257996506.208933
1624579200,2021-06-25 00:00:00,BTC/USDT,34658,35499.9,31276.1,31588.1,8644.09514911,286526052.148597
1624492800,2021-06-24 00:00:00,BTC/USDT,33676.1,35301.4,32306.2,34657.9,6292.05133514,213058141.798784
1624406400,2021-06-23 00:00:00,BTC/USDT,32505,34839.8,31709,33675,9779.35209084,329515574.313867
