https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1632182400,2021-09-21 00:00:00,ETH/USDT,2976.8,3107.53,2649.75,2765.51,158125.52843615,462103547.2019108264
1632096000,2021-09-20 00:00:00,ETH/USDT,3327.97,3348.27,2912.41,2976.77,127673.35587983,395688244.9409630668
1632009600,2021-09-19 00:00:00,ETH/USDT,3435.3,3457.3,3278.71,3327.98,57995.53371049,195276694.6638627654
1631923200,2021-09-18 00:00:00,ETH/USDT,3399.26,3543.59,3369.23,3435.29,58268.72194873,201628224.5677245191
1631836800,2021-09-17 00:00:00,ETH/USDT,3567.89,3593.4,3346.96,3399,68893.60571057,238048465.6467592545
1631750400,2021-09-16 00:00:00,ETH/USDT,3615.07,3675.6,3480.88,3567.89,72478.42923101,260111689.8848367239
1631664000,2021-09-15 00:00:00,ETH/USDT,3434.68,3619.44,3358,3615.04,65440.82496871,226920150.6924265267
1631577600,2021-09-14 00:00:00,ETH/USDT,3284.36,3436.59,3268.16,3434.68,58543.31966006,195882337.3945102262
1631491200,2021-09-13 00:00:00,ETH/USDT,3404.42,3431.95,3105.2,3283.63,72154.72606625,234324280.7648854244
1631404800,2021-09-12 00:00:00,ETH/USDT,3266.99,3472.03,3231.36,3404.41,48523.72809611,163383481.4878040384
1631318400,2021-09-11 00:00:00,ETH/USDT,3208.85,3348.29,3198.85,3266.99,52067.22041619,170660105.3684352377
1631232000,2021-09-10 00:00:00,ETH/USDT,3425.23,3515.39,3143.32,3208.86,75619.77822518,251147895.1488122187
1631145600,2021-09-09 00:00:00,ETH/USDT,3498.4,3566.4,3386.53,3425.22,67441.11234518,235242292.580393051
1631059200,2021-09-08 00:00:00,ETH/USDT,3433.8,3560,3215.7,3498.42,88791.89836434,304279785.5259543719
1630972800,2021-09-07 00:00:00,ETH/USDT,3926.35,3947.16,2923.76,3433.6,119695.43437452,426649399.6894445582
1630886400,2021-09-06 00:00:00,ETH/USDT,3949.88,3970,3863.01,3926.36,41117.75164374,161548624.0387408229
1630800000,2021-09-05 00:00:00,ETH/USDT,3887.03,3981.99,3833,3949.88,42023.89851306,164661385.9962082749
1630713600,2021-09-04 00:00:00,ETH/USDT,3940.63,3972.11,3833,3886.9,42581.95562412,166156437.460381535
1630627200,2021-09-03 00:00:00,ETH/USDT,3786.19,4027.59,3709.92,3940.1,67260.80662352,261935259.2657089129
1630540800,2021-09-02 00:00:00,ETH/USDT,3828.02,3837.85,3722.01,3785.73,62917.24209805,237738290.1439457955
1630454400,2021-09-01 00:00:00,ETH/USDT,3430,3842.43,3381.39,3828.02,100108.10309551,360658593.7097659535
1630368000,2021-08-31 00:00:00,ETH/USDT,3228.95,3472.76,3186.26,3430.01,102482.62160866,343026626.1760346814
1630281600,2021-08-30 00:00:00,ETH/USDT,3223.62,3347.19,3142.59,3228.83,80307.22290993,260315159.9755967163
1630195200,2021-08-29 00:00:00,ETH/USDT,3244.25,3285.68,3151.47,3223.62,46748.82737796,150304856.8691281288
1630108800,2021-08-28 00:00:00,ETH/USDT,3272.76,3284.7,3210.24,3244.26,37412.66410371,121322813.8752397748
1630022400,2021-08-27 00:00:00,ETH/USDT,3091.98,3280.58,3060.24,3272.26,67150.16584972,213467861.4415494384
1629936000,2021-08-26 00:00:00,ETH/USDT,3226.89,3250,3053.52,3091.89,59932.47890923,187324102.0667168911
1629849600,2021-08-25 00:00:00,ETH/USDT,3170.92,3247.93,3079.83,3227.1,62734.90010653,199589088.2506904504
1629763200,2021-08-24 00:00:00,ETH/USDT,3321.34,3358.87,3146.44,3170.38,80084.45930949,260306774.7837332189
1629676800,2021-08-23 00:00:00,ETH/USDT,3237.67,3377.05,3230.1,3321.67,74951.36731299,248839541.1217784558
1629590400,2021-08-22 00:00:00,ETH/USDT,3223.78,3272.71,3124.46,3237.67,55354.21646654,177727318.7776150132
1629504000,2021-08-21 00:00:00,ETH/USDT,3284.12,3309.9,3203.84,3224.2,61919.27418,202045189.2613537855
1629417600,2021-08-20 00:00:00,ETH/USDT,3184.15,3302.4,3173.73,3283.98,76262.38934436,247292419.6403770155
1629331200,2021-08-19 00:00:00,ETH/USDT,3014.88,3189.12,2959.29,3183.51,75960.34613805,232109285.7174181572
1629244800,2021-08-18 00:00:00,ETH/USDT,3012.99,3125.99,2944.82,3014.56,90433.65647243,275510457.8964077712
1629158400,2021-08-17 00:00:00,ETH/USDT,3147.01,3291.34,2991.9,3012.19,134811.07775445,425381039.7984350389
1629072000,2021-08-16 00:00:00,ETH/USDT,3307,3336.51,3133.94,3146.87,88504.64801635,286734519.3075280189
1628985600,2021-08-15 00:00:00,ETH/USDT,3263.3,3319.4,3112,3306.82,86187.39578215,276603870.443683998
1628899200,2021-08-14 00:00:00,ETH/USDT,3322.86,3331.76,3203.86,3263.13,65614.95599755,214322791.1126373253
1628812800,2021-08-13 00:00:00,ETH/USDT,3046.46,3328,3034.18,3322.78,90860.34816782,290838863.1616662921
1628726400,2021-08-12 00:00:00,ETH/USDT,3161.42,3238.58,2978.6,3046.45,101745.72756798,314311598.6659062309
1628640000,2021-08-11 00:00:00,ETH/USDT,3140.7,3274.14,3119,3162,84677.24655798,271801003.3814975887
1628553600,2021-08-10 00:00:00,ETH/USDT,3161.25,3232.08,3052.42,3140.72,83302.41374119,261468729.6018777253
1628467200,2021-08-09 00:00:00,ETH/USDT,3010.7,3186.6,2891.11,3162.03,108458.6101499,332818388.042604965
1628380800,2021-08-08 00:00:00,ETH/USDT,3159.71,3190.6,2948.04,3011.35,101264.74057411,311533834.9768216075
1628294400,2021-08-07 00:00:00,ETH/USDT,2891.69,3172.97,2865.18,3158.92,114390.86582125,348246165.8238370001
1628208000,2021-08-06 00:00:00,ETH/USDT,2827.03,2946.71,2721.01,2891.69,105927.62543733,299904048.2207175517
1628121600,2021-08-05 00:00:00,ETH/USDT,2724.15,2843.99,2530,2827.02,127783.36352092,348093638.2651452837
1628035200,2021-08-04 00:00:00,ETH/USDT,2508.8,2772,2457.99,2724.8,111952.50022127,292509616.5345173627
1627948800,2021-08-03 00:00:00,ETH/USDT,2607.29,2632.75,2437.01,2508.79,124824.83114333,312723609.8262060934
1627862400,2021-08-02 00:00:00,ETH/USDT,2555.36,2665.5,2506.77,2607.29,106078.04040862,275757447.3580974635
1627776000,2021-08-01 00:00:00,ETH/USDT,2531.31,2698.72,2511.15,2555.66,94593.66403033,245853254.512768439
1627689600,2021-07-31 00:00:00,ETH/USDT,2462.12,2553.29,2420.01,2531.56,50407.67563448,124479097.9426816978
1627603200,2021-07-30 00:00:00,ETH/USDT,2382.91,2471,2316.48,2462.58,68316.51821101,163204655.829603432
1627516800,2021-07-29 00:00:00,ETH/USDT,2300.1,2400,2266,2382.33,42438.8210616,98408760.1471059989
1627430400,2021-07-28 00:00:00,ETH/USDT,2300.04,2347.34,2242.82,2299.86,61736.05676202,141772911.0948821044
1627344000,2021-07-27 00:00:00,ETH/USDT,2227.81,2319.68,2150.08,2300.46,54759.36082739,122859235.8651858176
1627257600,2021-07-26 00:00:00,ETH/USDT,2189.8,2432.14,2171,2227.28,146963.92698187,340102530.8369273821
1627171200,2021-07-25 00:00:00,ETH/USDT,2184,2196.78,2107.11,2190.41,81661.23591305,175985681.8844099811
1627084800,2021-07-24 00:00:00,ETH/USDT,2125.35,2200,2100.6,2184,66209.99484096,142385704.6586829963
1626998400,2021-07-23 00:00:00,ETH/USDT,2024.2,2130.72,1996,2124.64,67036.84284045,137560421.5720340028
1626912000,2021-07-22 00:00:00,ETH/USDT,1995.72,2046.2,1948.43,2024.82,65773.36814424,131572654.703571017
1626825600,2021-07-21 00:00:00,ETH/USDT,1785.63,2033.4,1752.59,1995.24,91276.06305687,175226545.9902715557
1626739200,2021-07-20 00:00:00,ETH/USDT,1818.72,1841.33,1718.18,1785,87207.77722761,154007572.6342048645
1626652800,2021-07-19 00:00:00,ETH/USDT,1891.68,1918.76,1804,1818.53,41264.02638512,76380951.5165110429
1626566400,2021-07-18 00:00:00,ETH/USDT,1899.55,1994.4,1877.63,1891.14,56347.80957451,109175490.935818987
1626480000,2021-07-17 00:00:00,ETH/USDT,1876.21,1919.99,1844,1899.13,48703.93417701,91817877.5810079389
1626393600,2021-07-16 00:00:00,ETH/USDT,1918.93,1964.94,1849.54,1876.21,49091.58888415,93503786.1571730791
1626307200,2021-07-15 00:00:00,ETH/USDT,1994.8,2042,1881,1918.94,58637.19723799,113553075.5039516638
1626220800,2021-07-14 00:00:00,ETH/USDT,1940.07,2020,1863.7,1995.21,59841.13160331,116386528.8544171853
1626134400,2021-07-13 00:00:00,ETH/USDT,2031.52,2045.67,1917.13,1940.42,50463.5990606,100185846.1554598628
1626048000,2021-07-12 00:00:00,ETH/USDT,2141.01,2167.6,2006.46,2030.61,40948.22619079,85480332.7060402201
1625961600,2021-07-11 00:00:00,ETH/USDT,2110.67,2175.13,2080.42,2140.49,28593.97203195,60808252.0468192526
1625875200,2021-07-10 00:00:00,ETH/USDT,2146.41,2192.75,2073.34,2109.96,36012.27144784,76315181.218120803
1625788800,2021-07-09 00:00:00,ETH/USDT,2116.02,2189.12,2046.2,2146.38,56151.06040199,119260975.8024821895
1625702400,2021-07-08 00:00:00,ETH/USDT,2315.96,2324.73,2084,2115.85,61850.13418879,135224013.0541748902
1625616000,2021-07-07 00:00:00,ETH/USDT,2322.66,2409,2293.34,2315.96,49342.10396107,116215893.1747276438
1625529600,2021-07-06 00:00:00,ETH/USDT,2196.02,2349.5,2192.57,2322.46,72152.04659906,165445863.9089339708
1625443200,2021-07-05 00:00:00,ETH/USDT,2323.05,2329.2,2155.97,2195.73,67501.70972742,151572723.8147694232
1625356800,2021-07-04 00:00:00,ETH/USDT,2227.04,2391.34,2189.4,2322.67,58968.59962257,136326167.7266767767
1625270400,2021-07-03 00:00:00,ETH/USDT,2154.23,2241.83,2111.63,2226.63,52512.35069517,115168884.6554211403
1625184000,2021-07-02 00:00:00,ETH/USDT,2106.2,2159.51,2017.72,2154.23,82592.79555009,171994010.3386980569
1625097600,2021-07-01 00:00:00,ETH/USDT,2275.21,2275.82,2072.51,2106.2,91133.09953013,195653220.1398677124
1625011200,2021-06-30 00:00:00,ETH/USDT,2164.69,2288.53,2088.16,2275.2,97263.73838804,212074571.4948441905
1624924800,2021-06-29 00:00:00,ETH/USDT,2083.86,2245,2074.3,2164.68,71024.5436609,154565593.5976832628
1624838400,2021-06-28 00:00:00,ETH/USDT,1982.69,2145,1960.34,2083.85,78952.26068167,162035869.9420736767
1624752000,2021-06-27 00:00:00,ETH/USDT,1829.64,1984.6,1806.72,1982.57,58327.82146619,108469724.9544658566
1624665600,2021-06-26 00:00:00,ETH/USDT,1809.33,1852.53,1716.9,1830.04,72096.26877741,128102682.047269656
1624579200,2021-06-25 00:00:00,ETH/USDT,1989.46,2019.69,1790.79,1809.33,75924.44293305,142167160.0160508764
1624492800,2021-06-24 00:00:00,ETH/USDT,1968.48,2036.14,1884.5,1989.46,47745.03561416,93874642.312636563
1624406400,2021-06-23 00:00:00,ETH/USDT,1879.19,2044.84,1821.33,1967.64,76905.88189227,151460719.1989845807
1624320000,2021-06-22 00:00:00,ETH/USDT,1885.4,1996.99,1698.53,1879.34,165009.72158904,308843113.8191774592
1624233600,2021-06-21 00:00:00,ETH/USDT,2243.23,2259.23,1863.77,1886.15,151884.98939026,302741036.4803687428
1624147200,2021-06-20 00:00:00,ETH/USDT,2165.19,2277.39,2041.31,2243.23,65839.09753578,141767640.7370854606
1624060800,2021-06-19 00:00:00,ETH/USDT,2233.54,2278.75,2162.02,2165.1,47248.14520879,104897872.3279025337
1623974400,2021-06-18 00:00:00,ETH/USDT,2373.1,2377.62,2137.02,2233.5,64602.74271386,145396556.8059063658
1623888000,2021-06-17 00:00:00,ETH/USDT,2367.77,2461.79,2306.03,2373.09,58592.81921095,139632227.3081355966
1623801600,2021-06-16 00:00:00,ETH/USDT,2543.58,2555.72,2351.02,2368.56,60963.07667337,149400758.1775023363
1623715200,2021-06-15 00:00:00,ETH/USDT,2581.27,2639.83,2510.41,2543.6,57219.98672125,147291211.4749527386
1623628800,2021-06-14 00:00:00,ETH/USDT,2509.22,2608.11,2461.61,2581.37,69711.29824005,176277851.2488415879
1623542400,2021-06-13 00:00:00,ETH/USDT,2370.25,2548.96,2309.08,2509.12,76950.29206714,184279446.369602285
1623456000,2021-06-12 00:00:00,ETH/USDT,2354.66,2453,2257,2370.2,66714.93204122,156880595.3816529198
1623369600,2021-06-11 00:00:00,ETH/USDT,2470.5,2497.96,2321.38,2354.51,79488.03472312,192185903.0429409502
1623283200,2021-06-10 00:00:00,ETH/USDT,2609.67,2624.93,2426,2470.33,86581.0478273,218463940.1386380393
1623196800,2021-06-09 00:00:00,ETH/USDT,2507.05,2628.9,2404.96,2609.69,140107.78036546,353750070.5290227857
1623110400,2021-06-08 00:00:00,ETH/USDT,2591.71,2621.53,2307.07,2507.05,199606.61971952,494430190.1168795054
1623024000,2021-06-07 00:00:00,ETH/USDT,2712.08,2847.81,2570.19,2592.45,101409.96482418,276293073.984946047
1622937600,2021-06-06 00:00:00,ETH/USDT,2628.15,2744.55,2614.77,2711.62,66525.41067468,178987414.8518948634
1622851200,2021-06-05 00:00:00,ETH/USDT,2689.57,2817.17,2553.48,2628.38,93957.77553416,251185722.6065616703
1622764800,2021-06-04 00:00:00,ETH/USDT,2857.03,2860.12,2550.36,2688.55,116116.99179645,310979758.4617467588
1622678400,2021-06-03 00:00:00,ETH/USDT,2706.76,2890.77,2662.5,2857.03,87264.90651761,243760684.3393876374
1622592000,2021-06-02 00:00:00,ETH/USDT,2634.55,2802.72,2552.36,2707.58,101789.20169044,274421836.2976674759
1622505600,2021-06-01 00:00:00,ETH/USDT,2706.07,2740.36,2525.52,2634.53,130579.87057245,340630852.7909339452
1622419200,2021-05-31 00:00:00,ETH/USDT,2385.91,2719.49,2272.62,2705.59,149738.10904179,375526903.7506689436
1622332800,2021-05-30 00:00:00,ETH/USDT,2278.24,2476.81,2180.27,2385.98,140099.47519192,331451530.8875964777
1622246400,2021-05-29 00:00:00,ETH/USDT,2412.11,2574.04,2206,2278.24,150054.70010406,356595889.5230192881
1622160000,2021-05-28 00:00:00,ETH/USDT,2742.51,2760.41,2326.68,2412.12,169602.83455193,429580924.8996232972
1622073600,2021-05-27 00:00:00,ETH/USDT,2884.18,2888.45,2634.38,2742.34,138051.30580725,380961558.5721953398
1621987200,2021-05-26 00:00:00,ETH/USDT,2705.17,2909.71,2642.7,2884.15,222550.08151436,620234043.9171210635
1621900800,2021-05-25 00:00:00,ETH/USDT,2648.76,2750,2381.66,2704.48,290049.62798189,750070890.0069266566
1621814400,2021-05-24 00:00:00,ETH/USDT,2097.11,2673.69,2080.07,2648.72,287901.3458177,679572983.8016386113
1621728000,2021-05-23 00:00:00,ETH/USDT,2295.03,2381.19,1728,2096.6,397681.771699,807316563.8218296649
1621641600,2021-05-22 00:00:00,ETH/USDT,2428.22,2484.23,2153,2294.75,333867.90870843,782838357.1388841189
